時系列,流量,流量2
0,93.88,21.49
1,90.97,21.49
2,88.1,20.98
3,86.69,20.47
14400,83.89,19.97
18000,82.51,19.47
21600,79.78,19.47
25200,78.44,18.98
28800,76.13,18.98
32400,74.97,18.5
36000,73.82,18.98
39600,72.68,18.5
43200,71.55,18.5
46800,71.55,18.98
50400,70.43,18.98
54000,69.31,18.98
57600,68.21,19.47
61200,68.21,19.47
64800,68.21,19.97
68400,68.21,20.47
72000,67.11,20.47
75600,67.11,20.47
79200,66.03,20.47
82800,64.95,20.47
86400,62.82,20.47
90000,61.77,20.47
93600,60.72,21.49
97200,59.69,23.08
100800,57.65,22.54
104400,56.64,22.54
108000,56.64,22.54
111600,55.65,22.01
115200,54.66,22.01
118800,53.68,21.49
122400,52.7,20.98
126000,51.74,20.98
129600,51.74,20.47
133200,50.79,19.97
136800,49.84,19.97
140400,48.91,19.97
144000,47.98,19.47
147600,47.06,19.47
151200,47.06,18.98
154800,46.15,18.98
158400,46.15,18.02
162000,45.25,17.55
165600,44.36,17.55
169200,44.36,17.55
172800,43.48,17.09
176400,42.6,16.63
180000,42.6,16.63
183600,41.74,16.17
187200,40.03,16.17
190800,39.2,16.17
194400,39.2,15.73
198000,39.2,15.73
201600,39.2,15.29
205200,39.2,15.29
208800,39.2,15.29
212400,38.37,15.29
216000,38.37,14.85
219600,38.37,15.29
223200,38.37,15.29
226800,37.55,14.85
230400,37.55,14.85
234000,37.55,14.85
237600,37.55,14.85
241200,38.37,14.85
244800,38.37,14.85
248400,39.2,14.85
252000,39.2,15.29
255600,39.2,15.29
259200,39.2,15.29
262800,39.2,15.29
266400,39.2,15.73
270000,39.2,15.73
273600,39.2,15.73
277200,39.2,15.73
280800,38.37,15.73
284400,38.37,15.29
288000,38.37,15.29
291600,37.55,15.29
295200,37.55,15.29
298800,37.55,15.29
302400,37.55,14.85
306000,36.73,14.85
309600,36.73,14.85
313200,35.93,14.43
316800,35.93,14.43
320400,35.93,14.43
324000,35.14,14.43
327600,35.14,14.01
331200,35.14,14.01
334800,34.35,14.01
338400,34.35,14.01
342000,34.35,14.01
345600,33.58,13.59
349200,33.58,13.59
352800,33.58,13.59
356400,33.58,13.59
360000,32.81,13.59
363600,32.81,13.59
367200,32.81,13.18
370800,32.81,13.18
374400,32.05,13.18
378000,32.05,13.18
381600,32.05,13.18
