C_D,C_time
2.13678,4.9992
0.272634,9.9984
2.04687,14.9976
2.32871,19.9968
2.55511,24.996
1.88816,29.9952
2.26281,34.9944
2.16836,39.9936
1.99342,44.9928
1.82556,49.992
1.65846,54.9912
1.79102,59.9904
1.63465,64.9896
1.92008,69.9888
1.44877,74.988
1.66602,79.9872
1.9339,84.9864
1.4298,89.9856
1.74688,94.9848
1.43257,99.984
1.5711,104.983
1.47283,109.982
1.76058,114.982
1.49236,119.981
1.47409,124.98
1.57579,129.979
1.41419,134.978
1.69169,139.978
1.43482,144.977
1.58691,149.976
1.42571,154.975
1.49302,159.974
1.69857,164.974
1.77718,169.973
1.52071,174.972
1.41807,179.971
1.64579,184.97
1.60733,189.97
1.83697,194.969
1.55685,199.968
