x_H,y_H
0,0.5
0.012943,0.495841
0.0421805,0.48497
0.0828519,0.468808
0.131594,0.44852
0.185811,0.425146
0.243423,0.399577
0.302944,0.37242
0.363334,0.344296
0.423945,0.315609
0.48398,0.286857
0.54368,0.258246
0.603434,0.229996
0.663407,0.202711
0.722429,0.177429
0.780111,0.155185
0.836255,0.137365
0.892146,0.125339
0.948943,0.119149
1.00665,0.117412
1.06492,0.118514
1.12386,0.121074
1.18329,0.124329
1.24281,0.128985
1.30233,0.1354
1.36133,0.143447
1.41974,0.152979
1.47741,0.164014
1.53392,0.17652
1.58936,0.190163
1.64423,0.204346
1.69909,0.218602
1.75428,0.232589
1.81005,0.245884
1.86622,0.258424
1.9235,0.270099
1.98222,0.280814
2.04157,0.290312
2.10169,0.298114
2.16259,0.304184
2.22397,0.308577
2.28535,0.311174
2.34754,0.311046
2.41038,0.308499
2.4731,0.303947
2.5361,0.29734
2.5994,0.288707
2.66353,0.278211
2.72842,0.266166
2.79291,0.253047
2.85689,0.239138
