x_H,y_H
0,0.5
0.014636,0.502437
0.045877,0.507641
0.0880687,0.514037
0.137523,0.520933
0.19121,0.527931
0.24697,0.534714
0.303367,0.540983
0.360466,0.546647
0.417936,0.551628
0.475518,0.556031
0.53351,0.560035
0.591934,0.563743
0.650765,0.567197
0.709727,0.570356
0.769139,0.573101
0.829054,0.575305
0.889024,0.576874
0.948994,0.577701
1.00903,0.577658
1.06914,0.576712
1.12913,0.574909
1.1892,0.572272
1.24955,0.568858
1.30991,0.564776
1.37016,0.560124
1.43041,0.555025
1.49066,0.549598
1.55082,0.543963
1.61096,0.538236
1.6713,0.532545
1.73182,0.526986
1.79225,0.521659
1.8525,0.516647
1.91299,0.512044
1.97324,0.507893
2.03349,0.50425
2.09399,0.501141
2.15451,0.498585
2.21504,0.496565
2.27557,0.495078
2.3361,0.494125
2.39656,0.493634
2.45681,0.49356
2.51725,0.49384
2.57778,0.494431
2.63831,0.495269
2.69884,0.496309
2.75937,0.497492
2.81983,0.498756
2.88008,0.500047
