z_H,x_H
0,44.9705
0.0158828,44.5048
0.0513637,43.0935
0.0998257,40.31
0.15762,36.1251
0.221707,30.6076
0.289569,24.1386
0.359262,17.1129
0.429573,10.049
0.499694,3.39064
0.569364,-2.4714
0.639043,-7.27508
0.709492,-10.8737
0.780648,-13.2163
0.852364,-14.3789
0.924478,-14.3577
0.997213,-13.3682
1.0705,-11.6753
1.14421,-9.38193
1.2181,-6.71185
1.29183,-3.88417
1.36533,-1.11782
1.43881,1.38051
1.51241,3.44268
1.58626,4.95856
1.66025,5.86588
1.7342,6.14975
1.80819,5.85296
1.88231,5.00634
1.95652,3.7904
2.0308,0.000849255
