z_H,x_H
0,0.5
0.018759,0.501103
0.0601726,0.504765
0.115297,0.512627
0.17468,0.523818
0.238893,0.529664
0.307352,0.524075
0.3772,0.511117
0.44786,0.496557
0.518754,0.482404
0.589632,0.468596
0.660767,0.455186
0.732808,0.442794
0.805702,0.432423
0.878988,0.425028
0.952347,0.421146
1.02581,0.420997
1.09953,0.424406
1.17333,0.430861
1.24718,0.439573
1.32073,0.449609
1.39406,0.460019
1.46745,0.469982
1.54116,0.478835
1.61536,0.485992
1.68979,0.490995
1.76415,0.493652
1.83834,0.493984
1.91248,0.49218
1.98661,0.488658
2.06059,0.483962
