C_D,C_time
2.59901,4.998
2.37591,9.996
2.27668,14.994
2.21132,19.992
2.16676,24.99
2.13682,29.988
2.11688,34.986
2.1024,39.984
2.09046,44.982
2.08047,49.98
2.07239,54.978
2.06595,59.976
2.0608,64.974
2.05665,69.972
2.05329,74.97
2.05056,79.968
2.04833,84.966
2.0465,89.964
2.04501,94.962
2.0438,99.96
2.04281,104.958
2.042,109.956
2.04133,114.954
2.04079,119.952
2.04035,124.95
2.03999,129.948
2.0397,134.946
2.03946,139.944
2.03927,144.942
2.03911,149.94
2.03898,154.938
2.03887,159.936
2.03879,164.934
2.03872,169.932
2.03866,174.93
2.03862,179.928
2.03858,184.926
2.03855,189.924
2.03852,194.922
2.0385,199.92
