x,y,z,velx,vely,velz,ax,ay,az
0.45,0.003,0.42,0,0,0,0.000356207,0,-1.54248e-06
0.449386,0.003,0.426039,0,0,0,0.000419254,0,8.64828e-05
0.447569,0.003,0.431831,0,0,0,0.000348333,0,0.000153873
0.444623,0.003,0.437138,0,0,0,0.000314657,0,0.000227305
0.440669,0.003,0.441744,0,0,0,0.000284478,0,0.000296923
0.435869,0.003,0.445459,0,0,0,0.000196209,0,0.000298859
0.430419,0.003,0.448133,0,0,0,0.000184382,0,0.000447172
0.424543,0.003,0.449654,0,0,0,0.000105811,0,0.000490633
0.418481,0.003,0.449961,0,0,0,1.76296e-05,0,0.000538305
0.41248,0.003,0.449042,0,0,0,-8.04158e-05,0,0.000502521
0.406788,0.003,0.446934,0,0,0,-0.000247773,0,0.000649703
0.401637,0.003,0.443723,0,0,0,-5.29655e-05,0,0.000169523
0.397237,0.003,0.439541,0,0,0,-0.000206796,0,0.000238615
0.39377,0.003,0.434559,0,0,0,0.000347167,0,-0.000143827
0.391376,0.003,0.428981,0,0,0,0.000209955,0,-4.17655e-05
0.390154,0.003,0.423035,0,0,0,0.000323452,0,-2.30786e-05
0.390154,0.003,0.416965,0,0,0,0.000321071,-0,2.29473e-05
0.391376,0.003,0.411019,0,0,0,0.000217276,-0,4.39476e-05
0.39377,0.003,0.405441,0,0,0,0.000350092,-0,0.000144547
0.397237,0.003,0.400459,0,0,0,-0.000164012,0,-0.000208768
0.401637,0.003,0.396277,0,0,0,-2.02115e-05,0,-0.000145876
0.406788,0.003,0.393066,0,0,0,-0.0002356,0,-0.000620391
0.41248,0.003,0.390958,0,0,0,-6.41754e-05,0,-0.00045354
0.41848,0.003,0.390038,0,0,0,2.29815e-05,0,-0.000492807
0.424543,0.003,0.390346,0,0,0,0.000101325,0,-0.00044586
0.430419,0.003,0.391867,0,0,0,0.000165376,0,-0.000395376
0.435869,0.003,0.394541,0,0,0,0.000185089,0,-0.000280634
0.440669,0.003,0.398256,0,0,0,0.000262297,0,-0.00027376
0.444623,0.003,0.402862,0,0,0,0.000282987,0,-0.00020624
0.447569,0.003,0.408169,0,0,0,0.000356506,0,-0.000157585
0.449386,0.003,0.413961,0,0,0,0.000404216,0,-8.51162e-05
