C_D,C_time
2.45932,4.998
2.24,9.996
3.10533,14.994
2.31081,19.992
1.98172,24.99
2.58168,29.988
1.90522,34.986
1.98993,39.984
2.20105,44.982
1.92455,49.98
1.89429,54.978
1.98749,59.976
1.90949,64.974
1.87463,69.972
1.91527,74.97
1.88434,79.968
1.94302,84.966
1.86788,89.964
1.86238,94.962
1.77674,99.96
1.84444,104.958
1.84519,109.956
1.81428,114.954
1.84197,119.952
1.85081,124.95
1.79171,129.948
1.84235,134.946
1.85401,139.944
1.78001,144.942
1.81196,149.94
1.87797,154.938
1.77894,159.936
1.81106,164.934
1.97047,169.932
1.87578,174.93
1.78163,179.928
1.88118,184.926
1.88381,189.924
1.7832,194.922
1.8542,199.92
