x_H,C_time
0,0
0.08,-0.0213992
0.16,-0.027929
0.24,-0.0313448
0.32,-0.0333964
0.4,-0.0347066
0.48,-0.0355876
0.56,-0.0361714
0.64,-0.036586
0.72,-0.0368574
0.8,-0.0370607
0.88,-0.0371873
0.96,-0.0372893
1.04,-0.0373475
1.12,-0.0373989
1.2,-0.0374247
1.28,-0.0374507
1.36,-0.0374614
1.44,-0.0374747
1.52,-0.0374785
1.6,-0.0374848
1.68,-0.0374854
1.76,-0.0374875
1.84,-0.0374854
1.92,-0.0374833
2,-0.0374768
2.08,-0.0374672
2.16,-0.0374496
2.24,-0.0374213
2.32,-0.0373749
2.4,-0.0372997
2.48,-0.0371785
2.56,-0.0369835
2.64,-0.0366738
2.72,-0.0361855
2.8,-0.0354251
2.88,-0.0342587
2.96,-0.0325058
3.04,-0.0299546
3.12,-0.0263953
3.2,-0.0217958
3.28,-0.0165428
3.36,-0.0115656
