x_H,C_time
0,0
0.025,-0.0189673
0.05,-0.0327681
0.075,-0.0444165
0.1,-0.0545731
0.125,-0.063481
0.15,-0.07144
0.175,-0.0785513
0.2,-0.0847937
0.225,-0.0903231
0.25,-0.0951993
0.275,-0.0994551
0.3,-0.103213
0.325,-0.106528
0.35,-0.109376
0.375,-0.111826
0.4,-0.11395
0.425,-0.115781
0.45,-0.117398
0.475,-0.11882
0.5,-0.120053
0.525,-0.121102
0.55,-0.122002
0.575,-0.122788
0.6,-0.123495
0.625,-0.124122
0.65,-0.124673
0.675,-0.125147
0.7,-0.125541
0.725,-0.125891
0.75,-0.12621
0.775,-0.126494
0.8,-0.126746
0.825,-0.126954
0.85,-0.127111
0.875,-0.127231
0.9,-0.127307
0.925,-0.127317
0.95,-0.127215
0.975,-0.126918
1,-0.126243
1.025,-0.12479
1.05,-0.121424
1.075,-0.11198
